ItemName	ItemURL	PriceData	Rating	RatingCount
WD 2TB Elements Portable External Hard Drive HDD, USB 3.0, Compatible with PC, Mac, PS4 & Xbox - WDBU6Y0020BBK-WESN	/Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_2?dchild=1&qid=1612937136&s=pc&sr=1-2	$62.99 $129.99	4.7 out of 5 stars	131,369
Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX2000400)	/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_3?dchild=1&qid=1612937136&s=pc&sr=1-3	$62.99	4.7 out of 5 stars	98,754
Samsung SSD 860 EVO 1TB 2.5 Inch SATA III Internal SSD (MZ-76E1T0B/AM)	/Samsung-Inch-Internal-MZ-76E1T0B-AM/dp/B078DPCY3T/ref=sr_1_4?dchild=1&qid=1612937136&s=pc&sr=1-4	$114.99 $199.99	4.9 out of 5 stars	57,358
Samsung (MZ-V7E1T0BW) 970 EVO SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology, Black/Red	/Samsung-970-EVO-1TB-MZ-V7E1T0BW/dp/B07BN217QG/ref=sr_1_5?dchild=1&qid=1612937136&s=pc&sr=1-5	$139.99 $179.99	4.9 out of 5 stars	25,320
Seagate BarraCuda 2TB Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache 3.5-Inch – Frustration Free Packaging (ST2000DM008)	/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07H2RR55Q/ref=sr_1_7?dchild=1&qid=1612937136&s=pc&sr=1-7	$55.49	4.7 out of 5 stars	47,775
Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz C16 Desktop Memory Kit - Black (CMK16GX4M2B3200C16)	/Corsair-Vengeance-3200MHz-Desktop-Memory/dp/B0143UM4TC/ref=sr_1_8?dchild=1&qid=1612937136&s=pc&sr=1-8	$87.99	4.8 out of 5 stars	71,906
Samsung (MZ-V7S1T0B/AM) 970 EVO Plus SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology	/Samsung-970-EVO-Plus-MZ-V7S1T0B/dp/B07MFZY2F2/ref=sr_1_9?dchild=1&qid=1612937136&s=pc&sr=1-9	$159.99 $249.99	4.9 out of 5 stars	19,251
SAMSUNG T5 Portable SSD 1TB - Up to 540MB/s - USB 3.1 External Solid State Drive, Black (MU-PA1T0B/AM)	/Samsung-T5-Portable-SSD-MU-PA1T0B/dp/B073H552FJ/ref=sr_1_10?dchild=1&qid=1612937136&s=pc&sr=1-10	$119.99	4.8 out of 5 stars	7,488
"SAMSUNG 870 QVO SATA III 2.5"" SSD 1TB (MZ-77Q1T0B)"	/SAMSUNG-870-QVO-SATA-MZ-77Q1T0B/dp/B089C73T72/ref=sr_1_12?dchild=1&qid=1612937136&s=pc&sr=1-12	$109.99 $129.99	4.8 out of 5 stars	4,236
AMD Ryzen 9 5900X 12-core, 24-Thread Unlocked Desktop Processor Without Cooler	/AMD-Ryzen-5900X-24-Thread-Processor/dp/B08164VTWH/ref=sr_1_13?dchild=1&qid=1612937136&s=pc&sr=1-13		4.8 out of 5 stars	348
